name,api_no,well_status,well_type,closest_city,county,lat_long,oil_prod,gas_prod
Yukon 5301 41-12T,33-053-03911,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.082914, -103.622634",1000.0,1000.0
Innoko 5301 43-12T,33-053-03937,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.082730, -103.613628",94.0,179.0
Magnum 3-36-25H,33-053-04069,Inactive,Oil & Gas,"McKenzie County, ND",Williston,"48.024944, -103.605166",0.0,0.0
Larry 5301 44-12B,33-053-04071,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.082612, -103.607281",566.0,1800.0
Ash Federal 5300 11-18T,33-053-04211,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.079672, -103.602545",153.0,247.0
Colville 5301 44-12T,33-053-04981,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.082623, -103.607895",363.0,739.0
Lewis Federal 5300 21-31 6B,33-053-05845,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.031718, -103.603085",504.0,1200.0
Lewis Federal 5300 21-31 5B,33-053-05849,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.031808, -103.603086",1100.0,3100.0
Wade Federal 5300 31-30 11T,33-053-05906,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.044162, -103.602670",198.0,1800.0
Chalmers 5301 44-24 2TR,33-053-05924,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.055866, -103.604903",284.0,2900.0
Chalmers 5301 44-24 3BR,33-053-06010,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.055776, -103.604903",531.0,5100.0
Chalmers 5301 44-24 4T2R,33-053-06011,Abandoned,Oil & Gas,"McKenzie County, ND",Williston,"48.055641, -103.604904",0.0,0.0
Chalmers Wade Federal 5301 44-24 12TXR,33-053-06012,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.055551, -103.604905",671.0,831.0
Chalmers 5300 21-19 5T,33-053-06018,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061796, -103.602522",163.0,671.0
Chalmers 5300 21-19 6B,33-053-06019,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061706, -103.602522",262.0,856.0
Chalmers 5300 21-19 8T,33-053-06021,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061525, -103.602523",249.0,272.0
Chalmers 5300 21-19 10T,33-053-06022,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061344, -103.602525",111.0,2500.0
Chalmers 5300 21-19 9B,33-053-06023,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061434, -103.602524",186.0,551.0
Chalmers 5300 21-19 11B,33-053-06024,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.061254, -103.602525",207.0,1500.0
Wrrmu 4-28,33-053-00605,Plugged and Abandoned,Oil & Gas,"McKenzie County, ND",Medora,"47.346236, -103.554430",0.0,0.0
Kline Federal 5300 31-18 7T,33-053-06056,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.074452, -103.602935",180.0,1700.0
Kline Federal 5300 31-18 6B,33-053-06057,Abandoned,Oil & Gas,"McKenzie County, ND",Williston,"48.074362, -103.602934",0.0,0.0
Wade Federal 5300 21-30 12T,33-053-06129,Active,Oil & Gas,"McKenzie County, ND",Williston,"48.048736, -103.602904",336.0,897.0
